Site,Date,Quadrant,ID,Species,Distance,BasalDiameter,CrownDiameter,Height,StemCount
US-SRG,5/28/2025,NE,76,,,,8.8,,
US-SRG,5/28/2025,NE,77,MES,65.7,24,3.7,2.4,8
US-SRG,5/28/2025,NE,77,,,,4,,
US-SRG,5/28/2025,NE,78,MES,79.2,23,3.45,2.6,20
US-SRG,5/28/2025,NE,78,,,,3.9,,
US-SRG,5/28/2025,NE,79,MES,81,25,3.1,2.5,1
US-SRG,5/28/2025,NE,79,,,,3.2,,
US-SRG,5/28/2025,NE,80,CHAC,80,8,1.5,1.3,6
US-SRG,5/28/2025,NE,80,,,,2.1,,
US-SRG,5/28/2025,NE,81,CHAC,82.4,24,2.2,2.5,1
US-SRG,5/28/2025,NE,81,,,,2.4,,
US-SRG,5/28/2025,NE,82,MES,83.4,25,2.5,2.8,8
US-SRG,5/28/2025,NE,82,,,,2.5,,
US-SRG,5/28/2025,NE,83,MES,84.2,18,2.8,2.8,5
US-SRG,5/28/2025,NE,83,,,,2.8,,
US-SRG,5/28/2025,NE,84,MES,85,3,1.3,1,7
US-SRG,5/28/2025,NE,84,,,,0.8,,
US-SRG,5/28/2025,NE,85,CHAC,87.1,17,2.7,2.1,12
US-SRG,5/28/2025,NE,85,,,,2.4,,
US-SRG,5/28/2025,NE,86,CHAC,84.6,30,2.2,2.4,12
US-SRG,5/28/2025,NE,86,,,,2.2,,
US-SRG,5/28/2025,NE,87,CHAC,87.6,30,2.1,2.3,12
US-SRG,5/28/2025,NE,87,,,,2.3,,
US-SRG,5/28/2025,NE,88,CHAC,87.6,28,2.2,2.4,12
US-SRG,5/28/2025,NE,88,,,,2.4,,
US-SRG,5/28/2025,NE,89,CHAC,88.7,31,2.2,2.5,12
US-SRG,5/28/2025,NE,89,,,,2.1,,
US-SRG,5/28/2025,NE,90,CHAC,90.4,32,2.6,2.4,
US-SRG,5/28/2025,NE,90,,,,2.6,,
US-SRG,5/28/2025,NE,91,CHAC,91.1,30,2.3,2.3,
US-SRG,5/28/2025,NE,91,,,,2.2,,
US-SRG,5/28/2025,NE,92,MES,92.3,43,2.9,2.4,
US-SRG,5/28/2025,NE,92,,,,3.4,,
US-SRG,5/28/2025,NE,93,MES,94,25,2,2.2,4
US-SRG,5/28/2025,NE,93,,,,2,,
US-SRG,5/28/2025,NE,94,CHAC,95,24,1.9,2.6,
US-SRG,5/28/2025,NE,94,,,,,,
US-SRG,5/28/2025,NE,95,MES,95.8,11,2.2,2.1,
US-SRG,5/28/2025,NE,95,,,,1.8,,
US-SRG,5/28/2025,NE,96,MES,95.3,15,2.7,2.6,
US-SRG,5/28/2025,NE,96,,,,2.7,,
US-SRG,5/28/2025,NE,97,MES,95.1,22,4.9,4.3,
US-SRG,5/28/2025,NE,97,,,,5.9,,
US-SRG,5/28/2025,NE,98,MES,79.9,28,8.1,5.1,
US-SRG,5/28/2025,NE,98,,,,6.4,,
US-SRG,5/28/2025,NE,99,MES,93.1,38,4.3,3.5,
US-SRG,5/28/2025,NE,99,,,,3.9,,
US-SRG,5/28/2025,SW,100,MES,15.1,4.8,4.16,4.8,
US-SRG,5/28/2025,SW,100,,,,5.1,,
US-SRG,5/28/2025,SW,101,GTN,17.1,5.3,3.2,2.2,
US-SRG,5/28/2025,SW,101,,,,3.6,,
US-SRG,5/28/2025,SW,102,CHAC,36.27,2.9,2.4,2.7,
US-SRG,5/28/2025,SW,102,,,3.6,1.3,,
US-SRG,5/28/2025,SW,102,,,5.1,,,
US-SRG,5/28/2025,SW,103,MES,36.88,5.4,4.8,4.9,
US-SRG,5/28/2025,SW,103,,,,4.5,,
US-SRG,5/28/2025,SW,104,GTN,38.6,2.5,2.3,1.5,
US-SRG,5/28/2025,SW,104,,,,2,,
US-SRG,5/28/2025,SW,105,MES,48.3,7,4.2,5.4,
US-SRG,5/28/2025,SW,105,,,,4.3,,
US-SRG,5/28/2025,SW,106,MES,63.79,4.8,3.6,3.8,
US-SRG,5/28/2025,SW,106,,,,3.2,,
US-SRG,5/28/2025,SW,107,MES,68,6.2,5.7,5.5,
US-SRG,5/28/2025,SW,107,,,4.3,,,
US-SRG,5/28/2025,SW,108,MES,67.85,6.7,3.1,4.4,
US-SRG,5/28/2025,SW,108,,,,2.4,,
US-SRG,5/28/2025,SW,109,MES,71.4,3.5,2,2.2,
US-SRG,5/28/2025,SW,109,,,2.8,2.5,,
US-SRG,5/28/2025,SW,109,,,1.9,,,
US-SRG,5/28/2025,SW,109,,,2.6,,,
US-SRG,5/28/2025,SW,109,,,1.6,,,
US-SRG,5/28/2025,SW,110,MES,75.68,1.6,2,,
US-SRG,5/28/2025,SW,110,,,4.6,2.1,,
US-SRG,5/28/2025,SW,110,,,2.3,,,
US-SRG,5/28/2025,SW,111,MES,77.53,0.8,0.6,0.8,
US-SRG,5/28/2025,SW,111,,,0.9,0.7,,
US-SRG,5/28/2025,SW,112,MES,77.71,5.2,4.2,2.2,
US-SRG,5/28/2025,SW,112,,,4.5,3,,
US-SRG,5/28/2025,SW,113,MES,78.02,1.4,1.1,0.8,
US-SRG,5/28/2025,SW,113,,,1.6,1,,
US-SRG,5/28/2025,SW,114,MES,79.24,10.6,2,2.5,
US-SRG,5/28/2025,SW,114,,,,3,,
US-SRG,5/28/2025,SW,115,CHAC,82.88,10,6.5,2.5,
US-SRG,5/28/2025,SW,115,,,4,7,,
US-SRG,5/28/2025,SW,115,,,4,,,
US-SRG,5/28/2025,SW,115,,,8,,,
US-SRG,5/28/2025,SW,116,MES,95.48,8.9,6.5,6.5,
US-SRG,5/28/2025,SW,116,,,7.6,7,,
US-SRG,5/28/2025,SW,117,MES,99.48,13.2,4.2,3.6,
US-SRG,5/28/2025,SW,117,,,,2.5,,
